"","avg_MET","avg_Intra_FLC"
"hsa-mir-342-5p",802.8337653,27.24160762
"hsa-mir-122-5p_+_1",18247.47208,0
"hsa-mir-122-5p_+_3",167.8392878,0
"hsa-mir-122-5p_+_4",107.7941388,0
"hsa-mir-199a-1-3p",78105.84576,5648.721656
"hsa-mir-16-2-5p",47181.59499,5147.144224
"hsa-mir-432-5p",960.1240979,0
"hsa-mir-142-5p_+_1",272.9161456,0
"hsa-mir-143-3p",315948.128,1369.491199
"hsa-mir-301a-3p",577.5620612,66.53802338
"hsa-mir-30a-5p_-_1",150.6460881,55.8383741
"hsa-mir-26b-5p_-_1",2699.099123,416.9577649
"hsa-mir-361-5p_-_1",489.264549,280.7501787
"hsa-mir-155-5p",30844.54023,800.8425333
"hsa-mir-532-5p",5146.455769,516.3187633
"hsa-mir-24-1-3p_+_1",844.2769199,305.4119302
"hsa-mir-24-1-3p_+_2",216.8397702,39.58179876
"hsa-mir-146a-5p_-_1",160.2852062,0
"hsa-mir-423-5p",5403.919014,3742.360354
"hsa-mir-126-5p",33885.81049,232.6583826
"hsa-mir-101-2-3p",6302.5311,963.6419461
"hsa-mir-129-1-5p",106.4755435,0
"hsa-mir-424-5p",461.1414764,38.07311118
"hsa-mir-20a-5p_+_1",239.4746929,33.70384217
"hsa-mir-493-3p",245.2776356,0
"hsa-mir-199a-2-3p_-_1",11547.80246,879.7365839
"hsa-mir-449a",8756.437046,14.35231567
"hsa-mir-139-3p_-_1",243.6612399,58.97316008
"hsa-mir-150-3p",117.5919667,0
"hsa-mir-30a-5p_+_1",1005.261891,474.3507025
"hsa-mir-671-3p",274.0012053,234.8605964
"hsa-mir-200b-3p_+_1",286.3619511,89.10633897
"hsa-mir-2110",167.6025358,126.222658
"hsa-mir-16-1-5p_+_1",850.1574546,276.4925099
"hsa-mir-144-3p",1950.520461,0
"hsa-mir-1269a",127.9598593,0
"hsa-mir-323a-3p_-_1",194.4453887,1.805950017
"hsa-mir-1287",156.8640443,134.8274787
"hsa-mir-146b-3p_+_1",273.9365979,0
"hsa-let-7i-5p",252880.8194,38199.15785
"hsa-mir-103a-1-3p_-_1",115.5555869,41.17621561
"hsa-mir-183-5p_+_1",600.8590838,308.4817206
"hsa-mir-9-1-5p",98.17507417,263.7136376
"hsa-mir-196b-5p",172.411775,38.88686134
"hsa-mir-17-3p",763.4270523,52.97988632
"hsa-mir-98_+_1",153.6320087,55.045828
