miR,avg_NML,avg_PRI,avg_MET,avg_REC
hsa-mir-483-5p,2180.105835,132.2667579,59.82156202,352.3009235
hsa-mir-542-3p_-_1,136.9810316,66.35973452,74.66976834,121.6264306
hsa-mir-152,15350.4992,14547.03977,15471.20572,12874.21116
hsa-mir-381_-_1,23.80439615,21.69016189,14.77473874,14.01507473
hsa-mir-16-2-5p_+_4,2.365768564,1.804446388,4.242386703,0
hsa-mir-138-1-5p,28.79224214,0,61.70008656,42.68967806
hsa-mir-16-2-5p_+_8,19.29937931,11.91770215,16.02616186,9.439489162
hsa-mir-25-5p,125.5679421,113.5679437,103.2415573,185.3206606
hsa-mir-34a-5p_+_5,4.673683955,7.04797028,13.90147679,4.671691576
hsa-mir-34a-5p_+_4,1.445747456,7.69766434,4.651219539,0
hsa-mir-34a-5p_+_7,1.314315869,1.363810196,0.534421168,0
hsa-mir-34a-5p_+_1,266.0704767,1163.916237,943.7296808,2170.620129
hsa-mir-34a-5p_+_3,0,1.487792942,0,0
hsa-let-7e-3p_+_1,3.812237132,0,4.833712462,5.83961447
hsa-let-7i-5p_+_3,34.65001529,76.73689274,88.30695477,115.8531597
hsa-let-7i-5p_+_2,3.81151602,5.438954079,8.914466785,7.007537364
hsa-let-7i-5p_+_1,682.3485607,2054.835863,1567.330692,4910.775853
hsa-let-7i-5p_+_7,7.509820803,7.676764315,11.13261028,27.52326633
hsa-let-7i-5p_+_6,53.36572468,76.31919081,75.18832287,97.30055476
hsa-let-7i-5p_+_5,31.46316031,43.98770048,55.16884192,55.81685497
hsa-let-7i-5p_+_4,37.16439905,53.71569857,67.24381264,67.10677628
hsa-mir-199b-3p_-_2,14.8134304,32.47291831,29.50044218,17.12953578
hsa-mir-199b-3p_-_1,8237.027461,13201.39037,11531.25051,8164.814147
hsa-mir-199a-2-5p,2645.335779,2655.651007,2332.018746,1327.858025
hsa-mir-15a-5p,4510.320098,4630.288658,7691.855402,2020.120156
hsa-mir-155-5p_-_1,60.10779383,139.1222936,151.0106768,88.70261508
hsa-mir-502-5p_-_1,30.99913966,57.61539321,59.48532405,40.43335238
hsa-mir-502-5p_-_2,2.32970047,6.969673087,13.8714605,6.618229733
hsa-let-7g-5p_+_1,3507.575369,5799.791305,5349.520101,9385.624184
hsa-let-7g-5p_+_3,64.95679791,67.22819729,53.32741351,8.564767889
hsa-let-7g-5p_+_2,4.468673955,3.004216003,6.736263672,0
hsa-let-7g-5p_+_5,7.229458392,1.983723922,9.391003348,0
hsa-let-7g-5p_+_4,15.38571884,11.18120522,12.1179619,0
hsa-let-7g-5p_+_7,1.840042217,0,0.973031574,0
hsa-let-7g-5p_+_6,14.44943261,9.063356552,15.91920341,0
hsa-mir-200c-3p_+_4,0,0,2.507075918,0
hsa-mir-21-5p_+_6,3.154358086,13.00498918,18.97644672,32.59255848
hsa-mir-550a-2-3p,11.83982712,8.451281667,16.8898559,0
hsa-mir-25-3p,34222.82341,24591.36966,36341.12649,35074.26314
hsa-mir-3605-5p_-_2,6.03414296,13.53825613,8.747144354,11.15575992
hsa-mir-3605-5p_-_1,1.577179043,4.714596908,0.733553746,0
hsa-mir-99a-3p,723.0360708,369.4141455,202.1933289,379.7656783
hsa-mir-342-3p_+_2,101.5832647,110.467979,59.01889484,42.9448243
hsa-mir-342-3p_+_3,3.087342361,7.304781599,0.766578541,0
hsa-mir-342-3p_+_1,58.71741041,123.7397095,37.53278265,84.26948385
hsa-mir-342-3p_+_4,0,1.91161109,0,0
hsa-mir-1262,7.601419809,1.775067441,5.442310094,19.7371137
hsa-mir-1266,3.042954692,8.833317005,6.475358572,21.44509151
hsa-mir-4306,0,2.479654903,1.863918665,0
hsa-mir-629-5p,562.1747093,597.6794703,598.9523538,965.9784758
hsa-mir-339-3p_+_1,20.11243671,16.17906268,23.56538335,32.36229108
hsa-mir-3656,0,1.775067441,2.096195829,24.02779059
hsa-mir-4484_+_2,0,1.365436493,0,0
hsa-mir-4484_+_1,0,2.594329337,0,0
hsa-mir-374a-5p_-_1,2.10290539,1.968486968,1.626367581,0
hsa-mir-18a-5p,221.1183163,364.9958693,594.4291628,249.4783739
hsa-mir-370_-_1,10.47360764,14.12068046,5.67589635,30.78847466
hsa-mir-126-3p_+_2,356.8661128,360.545722,428.4820886,579.5472977
hsa-mir-126-3p_+_1,9732.126156,9615.342973,11997.51056,5642.04237
hsa-mir-126-3p_+_6,17.37147566,11.1757329,7.339988578,0
hsa-mir-126-3p_+_5,3.417221259,1.968486968,1.100330619,0
hsa-mir-126-3p_+_8,1.70861063,0,0.570541802,0
hsa-mir-139-5p_-_1,3.154358086,2.321242038,0,0
hsa-mir-3605-3p,73.97875022,159.1426261,117.0023846,62.97513962
hsa-mir-3913-2-5p_+_1,2.849854487,1.611775687,3.810162135,13.73016605
hsa-mir-128-1_+_2,8.671884873,39.92510669,21.20523262,21.5958388
hsa-mir-128-1_+_1,16.75102767,94.49747594,24.65217371,78.42157643
hsa-mir-24-1-3p,24324.64864,24084.6028,29942.91068,13769.76494
hsa-let-7a-1-5p,132573.3154,146723.1778,134996.5725,58462.68894
hsa-mir-1180,372.3347492,1105.097779,589.2303122,644.2933493
hsa-mir-644b-5p_-_1,0,1.638523792,0,0
hsa-mir-671-3p_-_1,0,4.546357157,1.861993131,0
hsa-mir-125a-5p_+_7,3.285789672,0,1.501905534,0
hsa-mir-125a-5p_+_3,2.891494912,0,0,0
hsa-mir-125a-5p_+_2,159.6211612,176.6450544,111.8488523,301.2548146
hsa-mir-320e_-_1,14.85771426,9.956878867,7.373130036,0
